UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
162706,2,"R",48491,"R",360202,"R",79,"R",1992,"R",193842,"R",395,"R",63,"R",50878,"R",554186,"R",605064,"R",12709,"R",20178,"R",32887,1,"R",1618,"R",242,"R",0,"R",735889,1,"R",192788,"R",65364,"R",194701,"R",0,"R",260065,"R",5321,"R",152214,"R",157535,"R",1346277,1153489
162760,2,"R",113587,"R",367653,"R",148,"R",5992,"R",70616,"R",1546,"R",2440,"R",121125,"R",440857,"R",561982,"R",5233,"R",137418,"R",142651,1,"R",902,"R",2501,"R",0,"R",371884,2,"Z",0,"R",23805,"R",222003,"R",14689,"R",260497,"R",16470,"R",53358,"R",69828,"R",702209,702209
162779,2,"R",12565,"R",51499,"R",146,"R",1673,"R",930,"R",0,"R",0,"R",14238,"R",52575,"R",66813,"R",14583,"R",682320,"R",696903,1,"R",92,"R",28,"R",0,"R",532470,2,"Z",0,"R",16511,"R",208798,"R",3830,"R",229139,"R",3820,"R",50940,"R",54760,"R",816369,816369
162928,2,"R",2426919,"R",1755896,"R",836,"R",851830,"R",143523,"R",51824,"R",154044,"R",3330573,"R",2054299,"R",5384872,"R",132025,"R",1425219,"R",1557244,1,"R",57764,"R",39636,"R",11,"R",15400533,1,"R",4894788,"R",3868453,"R",18034238,"R",400588,"R",22303279,"R",70852,"R",9464383,"R",9535235,"R",52133835,47239047
163028,2,"R",367,"R",158102,"R",3,"R",0,"R",0,"R",0,"R",0,"R",367,"R",158105,"R",158472,"R",87,"R",98,"R",185,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
163204,2,"R",1234,"R",129937,"R",96,"R",0,"R",0,"R",0,"R",161585,"R",1234,"R",291618,"R",292852,"R",23,"R",178120,"R",178143,1,"R",2692,"R",7025,"R",0,"R",1646683,1,"R",488329,"R",0,"R",705198,"R",15001,"R",720199,"R",0,"R",235695,"R",235695,"R",3090906,2602577
163259,2,"R",303840,"R",51053,"R",295,"R",1159,"R",480,"R",13747,"R",85058,"R",318746,"R",136886,"R",455632,"R",5962,"R",106714,"R",112676,1,"R",15208,"R",11103,"R",1,"R",4623207,1,"R",1448988,"R",131473,"R",2908223,"R",560926,"R",3600622,"R",1714,"R",704286,"R",706000,"R",10378817,8929829
163268,2,"R",698859,"R",173818,"R",388,"R",26036,"R",15010,"R",27505,"R",6579,"R",752400,"R",195795,"R",948195,"R",33205,"R",26616,"R",59821,1,"R",9910,"R",6708,"R",0,"R",3540785,2,"Z",0,"R",450825,"R",3977208,"R",49100,"R",4477133,"R",50000,"R",439168,"R",489168,"R",8507086,8507086
163286,2,"R",2149249,"R",2810173,"R",874,"R",337489,"R",302012,"R",16840,"R",103737,"R",2503578,"R",3216796,"R",5720374,"R",120132,"R",1092136,"R",1212268,1,"R",36548,"R",51147,"R",6,"R",13385471,2,"Z",0,"R",1635128,"R",10245410,"R",765371,"R",12645909,"R",201106,"R",3666536,"R",3867642,"R",29899022,29899022
163295,2,"R",76337,"R",191873,"R",41,"R",5991,"R",244,"R",407,"R",0,"R",82735,"R",192158,"R",274893,"R",30469,"R",10062,"R",40531,1,"R",1001,"R",1475,"R",1,"R",837599,2,"R",0,"R",116592,"R",107102,"R",0,"R",223694,"R",8624,"R",121765,"R",130389,"R",1191682,1191682
163338,2,"R",131714,"R",28157,"R",149,"R",2216,"R",0,"R",170,"R",1152,"R",134100,"R",29458,"R",163558,"R",2054,"R",29304,"R",31358,1,"R",385,"R",821,"R",0,"R",1031288,1,"R",363848,"R",39405,"R",337003,"R",22033,"R",398441,"R",0,"R",6420,"R",6420,"R",1799997,1436149
163426,2,"R",197512,"R",81076,"R",183,"R",16683,"R",80234,"R",9208,"R",109133,"R",223403,"R",270626,"R",494029,"R",46810,"R",163543,"R",210353,1,"R",1243,"R",620,"R",3,"R",3573554,2,"Z",0,"R",362016,"R",772228,"R",398202,"R",1532446,"R",372,"R",239588,"R",239960,"R",5345960,5345960
163453,2,"R",238352,"R",46153,"R",160,"R",2122,"R",82191,"R",2731,"R",7690,"R",243205,"R",136194,"R",379399,"R",16458,"R",598,"R",17056,1,"R",3028,"R",1371,"R",0,"R",1396254,1,"R",527537,"R",108854,"R",435880,"R",266928,"R",811662,"R",0,"R",1411067,"R",1411067,"R",4146520,3618983
163462,2,"R",149042,"R",301866,"R",133,"R",2731,"R",3,"R",233,"R",0,"R",152006,"R",302002,"R",454008,"R",6949,"R",15000,"R",21949,1,"R",570,"R",1319,"R",0,"R",454060,2,"Z",0,"R",24453,"R",297709,"R",21945,"R",344107,"R",0,"R",35876,"R",35876,"R",834043,834043
163532,2,"R",35700,"R",40000,"R",1,"R",6100,"R",6000,"R",2000,"R",0,"R",43800,"R",46001,"R",89801,"R",4000,"R",6000,"R",10000,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
163578,2,"R",337620,"R",364411,"R",152,"R",14735,"R",68581,"R",2233,"R",123132,"R",354588,"R",556276,"R",910864,"R",11967,"R",245725,"R",257692,1,"R",9356,"R",11904,"R",0,"R",1551977,1,"R",433672,"R",170739,"R",1100178,"R",41130,"R",1312047,"R",3263,"R",1133781,"R",1137044,"R",4434740,4001068
163657,2,"R",34077,"R",268238,"R",71,"R",1129,"R",96681,"R",0,"R",191934,"R",35206,"R",556924,"R",592130,"R",3802,"R",3476,"R",7278,1,"R",101,"R",167,"R",0,"R",800665,2,"Z",0,"R",29097,"R",266553,"R",27818,"R",323468,"R",4337,"R",801,"R",5138,"R",1129271,1129271
163851,2,"R",269531,"R",156126,"R",119,"R",3052,"R",110487,"R",2848,"Z",0,"R",275431,"R",266732,"R",542163,"R",35879,"R",2250,"R",38129,1,"R",7321,"R",5976,"R",2,"R",1698285,1,"R",425309,"R",142130,"R",1159732,"R",2768,"R",1304630,"R",5926,"R",244554,"R",250480,"R",3678704,3253395
163912,2,"R",123704,"R",12593,"R",112,"R",11401,"R",31306,"R",1193,"R",90283,"R",136298,"R",134294,"R",270592,"R",9106,"R",1,"R",9107,1,"R",2828,"R",4108,"R",0,"R",866099,2,"Z",0,"R",47733,"R",661973,"R",12612,"R",722318,"R",7017,"R",142187,"R",149204,"R",1737621,1737621
163976,2,"R",75979,"R",538,"R",14,"R",2410,"R",398,"R",128,"R",1416,"R",78517,"R",2366,"R",80883,"R",20655,"R",30695,"R",51350,1,"R",329,"R",324,"R",1,"R",294069,1,"R",55977,"R",24814,"R",41596,"R",2333,"R",68743,"R",0,"R",37802,"R",37802,"R",456591,400614
164076,2,"R",395191,"R",335350,"R",308,"R",43192,"Z",0,"R",8233,"R",59500,"R",446616,"R",395158,"R",841774,"R",26414,"R",416515,"R",442929,1,"R",7602,"R",9353,"R",1,"R",2854446,1,"R",1073288,"R",339060,"R",2137581,"R",63878,"R",2540519,"R",2650,"R",35409,"R",38059,"R",6506312,5433024
164085,2,"R",8524,"R",5358,"R",65,"R",870,"R",0,"R",19,"R",23,"R",9413,"R",5446,"R",14859,"R",5756,"R",27437,"R",33193,1,"R",1,"R",55,"R",0,"R",286065,1,"R",23529,"R",8221,"R",16251,"R",0,"R",24472,"R",0,"R",2253,"R",2253,"R",336319,312790
