id,run_id,dyad_id,model_id,score,last_updated_date
5506,41,2806,4,1.0,1/25/2024 9:10:16 AM
5507,41,2806,2,1.0,1/25/2024 9:10:16 AM
5508,41,2806,3,0.996,1/25/2024 9:10:16 AM
5520,41,2811,1,1.0,1/25/2024 9:10:16 AM
5521,41,2811,3,0.996,1/25/2024 9:10:16 AM
5522,41,2811,4,0.431,1/25/2024 9:10:16 AM
5523,41,2812,4,1.0,1/25/2024 9:10:16 AM
5524,41,2812,1,1.0,1/25/2024 9:10:16 AM
5525,41,2813,1,1.0,1/25/2024 9:10:16 AM
5526,41,2813,4,1.0,1/25/2024 9:10:16 AM
5530,41,2816,1,1.0,1/25/2024 9:10:16 AM
5531,41,2817,1,3.0,1/25/2024 9:10:16 AM
5535,41,2820,1,1.0,1/25/2024 9:10:16 AM
5536,41,2821,1,1.0,1/25/2024 9:10:16 AM
5537,41,2821,4,1.0,1/25/2024 9:10:16 AM
5538,41,2821,2,1.0,1/25/2024 9:10:16 AM
5539,41,2821,3,0.996,1/25/2024 9:10:16 AM
5543,41,2824,4,1.0,1/25/2024 9:10:16 AM
5544,41,2824,1,1.0,1/25/2024 9:10:16 AM
5545,41,2824,3,0.996,1/25/2024 9:10:16 AM
5546,41,2825,1,3.0,1/25/2024 9:10:16 AM
5552,41,2830,1,3.0,1/25/2024 9:10:16 AM
5553,41,2831,1,2.0,1/25/2024 9:10:16 AM
5554,41,2831,4,1.0,1/25/2024 9:10:16 AM
5555,41,2831,2,1.0,1/25/2024 9:10:16 AM
5556,41,2831,3,0.996,1/25/2024 9:10:16 AM
5558,41,2833,1,1.0,1/25/2024 9:10:16 AM
5559,41,2833,4,1.0,1/25/2024 9:10:16 AM
5560,41,2833,2,1.0,1/25/2024 9:10:16 AM
5561,41,2833,3,0.996,1/25/2024 9:10:16 AM
5567,41,2836,1,1.0,1/25/2024 9:10:16 AM
5568,41,2836,3,0.998,1/25/2024 9:10:16 AM
5569,41,2836,2,0.501,1/25/2024 9:10:16 AM
5570,41,2836,4,0.501,1/25/2024 9:10:16 AM
5572,41,2838,1,2.0,1/25/2024 9:10:16 AM
5578,41,2842,1,3.0,1/25/2024 9:10:16 AM
5579,41,2842,2,1.0,1/25/2024 9:10:16 AM
5580,41,2842,3,0.997,1/25/2024 9:10:16 AM
5581,41,2842,4,0.308,1/25/2024 9:10:16 AM
5596,41,2849,1,1.0,1/25/2024 9:10:16 AM
5597,41,2849,4,1.0,1/25/2024 9:10:16 AM
5598,41,2849,3,0.996,1/25/2024 9:10:16 AM
5603,41,2852,1,1.0,1/25/2024 9:10:16 AM
5604,41,2852,3,0.997,1/25/2024 9:10:16 AM
5605,41,2853,1,1.0,1/25/2024 9:10:16 AM
5606,41,2853,2,0.996,1/25/2024 9:10:16 AM
5607,41,2853,3,0.996,1/25/2024 9:10:16 AM
5612,41,2856,4,1.0,1/25/2024 9:10:16 AM
5613,41,2856,1,1.0,1/25/2024 9:10:16 AM
5614,41,2856,2,1.0,1/25/2024 9:10:16 AM
5615,41,2856,3,0.996,1/25/2024 9:10:16 AM
5616,41,2857,1,2.0,1/25/2024 9:10:16 AM
5624,41,2862,1,3.0,1/25/2024 9:10:16 AM
5625,41,2862,2,1.0,1/25/2024 9:10:16 AM
5626,41,2862,3,0.996,1/25/2024 9:10:16 AM
5627,41,2862,4,0.4,1/25/2024 9:10:16 AM
5631,41,2864,1,2.0,1/25/2024 9:10:16 AM
5632,41,2864,2,1.0,1/25/2024 9:10:16 AM
5633,41,2864,4,1.0,1/25/2024 9:10:16 AM
5634,41,2864,3,0.997,1/25/2024 9:10:16 AM
5638,41,2867,1,4.0,1/25/2024 9:10:16 AM
5641,41,2869,1,1.0,1/25/2024 9:10:16 AM
5642,41,2869,3,0.997,1/25/2024 9:10:16 AM
5647,41,2871,4,1.0,1/25/2024 9:10:16 AM
