id,run_id,publication_id,topic_id,score,last_updated_date
321648,41,321836,43360,,1/24/2024 5:41:03 PM
321649,41,321837,44164,,1/24/2024 5:41:03 PM
321650,41,321838,10118,,1/24/2024 5:41:03 PM
321651,41,321839,47158,,1/24/2024 5:41:03 PM
321652,41,321840,47290,,1/24/2024 5:41:03 PM
321653,41,321841,9979,,1/24/2024 5:41:03 PM
321654,41,321842,10029,,1/24/2024 5:41:03 PM
321655,41,321843,44536,,1/24/2024 5:41:03 PM
321657,41,321845,9802,,1/24/2024 5:41:03 PM
321658,41,321846,44721,,1/24/2024 5:41:03 PM
321659,41,321847,45977,,1/24/2024 5:41:03 PM
321660,41,321848,46405,,1/24/2024 5:41:03 PM
321661,41,321849,44287,,1/24/2024 5:41:03 PM
321662,41,321850,42150,,1/24/2024 5:41:03 PM
321663,41,321851,10117,,1/24/2024 5:41:03 PM
321664,41,321852,10121,,1/24/2024 5:41:03 PM
321665,41,321853,10287,,1/24/2024 5:41:03 PM
321666,41,321854,44399,,1/24/2024 5:41:03 PM
321667,41,321855,44985,,1/24/2024 5:41:03 PM
321668,41,321856,42795,,1/24/2024 5:41:03 PM
321669,41,321857,45800,,1/24/2024 5:41:03 PM
321670,41,321858,47408,,1/24/2024 5:41:03 PM
321671,41,321859,45800,,1/24/2024 5:41:03 PM
321672,41,321860,43820,,1/24/2024 5:41:03 PM
321674,41,321862,44838,,1/24/2024 5:41:03 PM
321675,41,321863,45381,,1/24/2024 5:41:03 PM
321676,41,321864,44270,,1/24/2024 5:41:03 PM
321677,41,321865,42877,,1/24/2024 5:41:03 PM
321678,41,321866,42877,,1/24/2024 5:41:03 PM
321679,41,321867,43770,,1/24/2024 5:41:03 PM
321681,41,321869,42363,,1/24/2024 5:41:03 PM
321682,41,321870,46240,,1/24/2024 5:41:03 PM
321683,41,321871,46860,,1/24/2024 5:41:03 PM
321684,41,321872,46546,,1/24/2024 5:41:03 PM
321685,41,321873,10044,,1/24/2024 5:41:03 PM
321687,41,321875,43770,,1/24/2024 5:41:03 PM
321688,41,321876,44761,,1/24/2024 5:41:03 PM
321689,41,321877,42439,,1/24/2024 5:41:03 PM
321690,41,321878,44531,,1/24/2024 5:41:03 PM
321691,41,321879,44895,,1/24/2024 5:41:03 PM
321692,41,321880,46144,,1/24/2024 5:41:03 PM
321693,41,321881,47290,,1/24/2024 5:41:03 PM
321694,41,321882,47051,,1/24/2024 5:41:03 PM
321695,41,321883,45124,,1/24/2024 5:41:03 PM
321696,41,321884,44985,,1/24/2024 5:41:03 PM
321697,41,321885,9496,,1/24/2024 5:41:03 PM
321698,41,321886,45140,,1/24/2024 5:41:03 PM
321699,41,321887,9857,,1/24/2024 5:41:03 PM
321700,41,321888,9756,,1/24/2024 5:41:03 PM
321701,41,321889,9756,,1/24/2024 5:41:03 PM
321702,41,321890,9947,,1/24/2024 5:41:03 PM
321703,41,321891,43203,,1/24/2024 5:41:03 PM
321704,41,321892,42353,,1/24/2024 5:41:03 PM
321705,41,321893,45409,,1/24/2024 5:41:03 PM
321706,41,321894,43600,,1/24/2024 5:41:03 PM
321707,41,321895,9917,,1/24/2024 5:41:03 PM
321708,41,321896,9875,,1/24/2024 5:41:03 PM
321709,41,321897,46791,,1/24/2024 5:41:03 PM
